iter	Passed	Remaining
418	1651	2289
419	1653	2283
420	1655	2277
421	1657	2270
422	1661	2266
423	1664	2260
424	1666	2254
425	1668	2248
426	1670	2242
427	1673	2236
428	1676	2231
429	1680	2227
430	1682	2221
431	1684	2215
432	1686	2208
433	1690	2204
434	1692	2198
435	1694	2192
436	1696	2185
437	1698	2179
438	1700	2173
439	1702	2166
440	1706	2162
441	1708	2156
442	1710	2150
443	1712	2144
444	1714	2138
445	1716	2132
446	1720	2127
447	1722	2122
448	1724	2116
449	1726	2110
450	1728	2104
451	1730	2098
452	1732	2092
453	1735	2087
454	1738	2081
455	1741	2077
456	1744	2072
457	1746	2066
458	1748	2060
459	1751	2055
460	1753	2050
461	1755	2044
462	1758	2039
463	1760	2033
464	1763	2028
465	1766	2024
466	1769	2019
467	1771	2013
468	1773	2008
469	1776	2003
470	1781	2000
471	1783	1995
472	1785	1989
473	1787	1983
474	1789	1977
475	1791	1971
476	1793	1966
477	1796	1962
478	1799	1956
479	1801	1951
480	1803	1945
481	1805	1939
482	1807	1934
483	1810	1930
484	1812	1925
485	1815	1919
486	1816	1913
487	1818	1908
488	1820	1902
489	1824	1898
490	1826	1893
491	1829	1888
492	1831	1883
493	1833	1878
494	1835	1872
495	1837	1867
496	1841	1864
497	1844	1858
498	1846	1853
499	1848	1848
500	1850	1843
501	1853	1838
502	1856	1834
503	1858	1829
504	1861	1824
505	1863	1818
506	1865	1813
507	1867	1808
508	1870	1804
509	1872	1799
510	1874	1794
511	1876	1788
512	1878	1783
513	1880	1778
514	1883	1773
515	1886	1769
516	1888	1764
517	1890	1759
518	1892	1754
519	1894	1748
520	1896	1743
521	1899	1739
522	1901	1734
523	1903	1729
524	1905	1724
525	1907	1719
526	1909	1713
527	1911	1709
528	1914	1704
529	1916	1699
530	1918	1694
531	1921	1689
532	1923	1684
533	1924	1679
534	1927	1675
535	1930	1671
536	1932	1666
537	1934	1661
538	1936	1656
539	1938	1651
540	1940	1646
541	1943	1642
542	1945	1637
543	1948	1633
544	1950	1628
545	1953	1623
546	1955	1619
547	1958	1615
548	1960	1610
549	1962	1605
550	1964	1600
551	1966	1596
552	1968	1591
